1.986,2.305,3.046,3.833,3.869,3.028,3.98,3.211,3.15,3.391,3.396,3.669,3.958,3.568,3.526,3.331,3.269,3.579,3.347,3.257,3.723,3.677,3.383,3.604,3.165,2.719,3.07,2.369,2.063,2.03
2.231,2.845,3.735,4.119,4.968,4.04,4.266,4.429,4.092,4.348,3.83,4.001,4.657,3.825,4.64,4.131,4.224,4.048,4.783,3.696,4.197,4.827,4.169,4.457,4.036,4.003,4.662,3.56,3.321,2.203
3.275,3.428,3.992,5.184,4.802,4.531,5.901,4.973,5.186,5.302,5.819,5.46,5.872,4.65,5.381,4.859,4.868,4.236,5.008,5.094,5.54,5.653,4.897,5.143,5.887,4.47,5.368,4.759,3.138,2.755
3.685,3.796,4.35,6.164,5.275,6.122,5.574,5.309,6.436,5.958,6.304,5.913,4.974,6.049,5.918,6.69,5.603,6.045,6.576,5.966,5.958,7.108,6.613,6.141,6.152,5.665,5.825,4.52,4.614,3.464
2.814,4.299,4.573,6.413,6.077,5.637,5.88,5.536,5.939,6.392,6.034,6.17,6.113,6.401,5.512,5.598,5.68,5.776,6.399,6.32,5.994,6.213,6.411,5.447,6.087,5.513,5.454,4.908,4.849,3.539
3.576,3.777,5.139,5.747,6.283,6.04,5.565,5.747,5.75,6.275,5.757,6.093,6.479,6.605,6.405,6.384,5.865,7.018,6.141,5.88,6.372,6.069,5.459,5.988,6.22,5.892,6.637,5.288,4.009,3.393
3.441,4.309,4.965,5.775,5.038,5.837,5.319,5.961,5.742,6.088,5.723,7.173,6.27,5.769,5.833,5.553,6.276,6.833,6.116,6.99,6.879,5.914,5.972,6.554,6.694,6.796,6.896,4.862,4.456,3.076
3.399,3.496,4.781,5.068,5.012,5.933,5.801,5.487,5.379,5.447,5.958,5.371,6.588,5.984,5.143,6.119,6.438,6.459,6.326,5.295,6.623,5.971,5.652,6.038,6.739,5.619,6.297,5.15,4.977,2.986
3.379,4.143,5.567,5.99,6.517,5.99,5.946,6.168,6.268,6.77,5.042,5.977,6.257,6.025,5.817,6.252,5.649,5.839,5.796,6.172,6.697,5.191,5.473,6.144,5.53,7.109,5.755,4.977,4.011,3.467
3.29,4.455,4.666,6.114,5.686,5.808,6.124,6.035,5.865,6.147,6.744,5.592,5.986,6.433,6.149,5.536,6.863,6.837,7.713,6.24,6.16,5.928,6.745,6.604,5.553,5.917,5.876,4.842,3.804,3.684
